date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:22:49	35/35	U-----	200	untouched ('OK')	text/plain	date:Tue,%2014%20Apr%202020%2013:30:23%20GMT	http://localhost:8000/robots.txt		(from )
07:22:49	12433/12433	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2020%20Apr%202020%2004:22:49%20GMT	http://localhost:8000/	C:/Users/artem/mystuff/projects/prosperus2/site_clone/prosperus/localhost_8000/index.html	(from )
07:22:49	5968/5968	U--M-Z	200	updated ('OK')	text/css	etag:%221750-52852b920fdb0-gzip%22	http://localhost:8000/wp-content/plugins/sitepress-multilingual-cms/res/css/language-selector.css?v=3.1.8.4	C:/Users/artem/mystuff/projects/prosperus2/site_clone/prosperus/localhost_8000/wp-content/plugins/sitepress-multilingual-cms/res/css/language-selector9ea4.css	(from http://localhost:8000/)
07:22:49	42/42	U-----	200	untouched ('')	text/plain	date:Tue,%2014%20Apr%202020%2013:30:25%20GMT	http://localhost:8000/xmlrpc.php	C:/Users/artem/mystuff/projects/prosperus2/site_clone/prosperus/localhost_8000/xmlrpc.php	(from http://localhost:8000/)
07:22:50	848/848	U--M-Z	200	updated ('OK')	text/xml	etag:%22d3036b67837d057c209928d0d60903a5-gzip%22	http://localhost:8000/feed/	C:/Users/artem/mystuff/projects/prosperus2/site_clone/prosperus/localhost_8000/feed/index.html	(from http://localhost:8000/)
07:22:50	739/739	U--M-Z	200	updated ('OK')	text/xml	etag:%22dc99e98fa7b0ce8373c7f12427a89dbc-gzip%22	http://localhost:8000/comments/feed/	C:/Users/artem/mystuff/projects/prosperus2/site_clone/prosperus/localhost_8000/comments/feed/index.html	(from http://localhost:8000/)
07:22:50	11303/11303	U--M-Z	200	updated ('OK')	text/css	etag:%222c27-52852bc855155-gzip%22	http://localhost:8000/wp-content/plugins/wpclef/assets/dist/css/main.min.css?ver=2.2.9.1	C:/Users/artem/mystuff/projects/prosperus2/site_clone/prosperus/localhost_8000/wp-content/plugins/wpclef/assets/dist/css/main.mindeb5.css	(from http://localhost:8000/)
07:22:50	27519/27519	U--M-Z	200	updated ('OK')	text/css	etag:%226b7f-52852bf6bcfcf-gzip%22	http://localhost:8000/wp-content/themes/twentyfifteen/genericons/genericons.css?ver=3.2	C:/Users/artem/mystuff/projects/prosperus2/site_clone/prosperus/localhost_8000/wp-content/themes/twentyfifteen/genericons/genericonscf1b.css	(from http://localhost:8000/)
07:22:50	730/730	U--M-Z	200	updated ('OK')	text/xml	etag:%22dc99e98fa7b0ce8373c7f12427a89dbc-gzip%22	http://localhost:8000/about-us/feed/	C:/Users/artem/mystuff/projects/prosperus2/site_clone/prosperus/localhost_8000/about-us/feed/index.html	(from http://localhost:8000/)
07:22:50	1453/1453	U--M-Z	200	updated ('OK')	text/css	etag:%225ad-5a33dd9627d59-gzip%22	http://localhost:8000/wp-content/themes/prosperus/style.css?ver=4.1.1	C:/Users/artem/mystuff/projects/prosperus2/site_clone/prosperus/localhost_8000/wp-content/themes/prosperus/style0235.css	(from http://localhost:8000/)
07:22:51	95807/95807	U--M-Z	200	updated ('OK')	application/javascript	etag:%221763f-52852c499b6b8-gzip%22	http://localhost:8000/wp-includes/js/jquery/jquery.js?ver=1.11.1	C:/Users/artem/mystuff/projects/prosperus2/site_clone/prosperus/localhost_8000/wp-includes/js/jquery/jquery90f9.js	(from http://localhost:8000/)
07:22:51	7200/7200	U--M-Z	200	updated ('OK')	application/javascript	etag:%221c20-52852c4a7cb12-gzip%22	http://localhost:8000/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.2.1	C:/Users/artem/mystuff/projects/prosperus2/site_clone/prosperus/localhost_8000/wp-includes/js/jquery/jquery-migrate.min1576.js	(from http://localhost:8000/)
07:22:51	2817/2817	U--M-Z	200	updated ('OK')	application/javascript	etag:%22b01-52852bc2daa9c-gzip%22	http://localhost:8000/wp-content/plugins/sitepress-multilingual-cms/res/js/jquery.cookie.js?ver=3.1.8.4	C:/Users/artem/mystuff/projects/prosperus2/site_clone/prosperus/localhost_8000/wp-content/plugins/sitepress-multilingual-cms/res/js/jquery.cookie6e3d.js	(from http://localhost:8000/)
07:22:51	2553/2553	U--M-Z	200	updated ('OK')	application/javascript	etag:%229f9-52852bc3a43b1-gzip%22	http://localhost:8000/wp-content/plugins/sitepress-multilingual-cms/res/js/browser-redirect.js?ver=3.1.8.4	C:/Users/artem/mystuff/projects/prosperus2/site_clone/prosperus/localhost_8000/wp-content/plugins/sitepress-multilingual-cms/res/js/browser-redirect6e3d.js	(from http://localhost:8000/)
07:22:51	723/723	U--M-Z	200	updated ('OK')	text/xml	date:Mon,%2020%20Apr%202020%2004:22:51%20GMT	http://localhost:8000/xmlrpc.php?rsd	C:/Users/artem/mystuff/projects/prosperus2/site_clone/prosperus/localhost_8000/xmlrpc0db0.php	(from http://localhost:8000/)
07:22:52	1045/1045	U--M-Z	200	updated ('OK')	application/xml	etag:%22415-52852c1f1009d-gzip%22	http://localhost:8000/wp-includes/wlwmanifest.xml	C:/Users/artem/mystuff/projects/prosperus2/site_clone/prosperus/localhost_8000/wp-includes/wlwmanifest.xml	(from http://localhost:8000/)
07:22:52	13525/13525	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2020%20Apr%202020%2004:22:52%20GMT	http://localhost:8000/ru/	C:/Users/artem/mystuff/projects/prosperus2/site_clone/prosperus/localhost_8000/ru/index.html	(from http://localhost:8000/)
07:22:52	1363072/1363072	U-----	200	untouched ('')	image/png	etag:%2214cc80-52852c0e68277%22	http://localhost:8000/wp-content/uploads/2015/02/tal11.png	C:/Users/artem/mystuff/projects/prosperus2/site_clone/prosperus/localhost_8000/wp-content/uploads/2015/02/tal11.png	(from http://localhost:8000/)
07:22:52	281308/281308	U-----	200	untouched ('')	image/png	etag:%2244adc-52852c1a4ea8e%22	http://localhost:8000/wp-content/uploads/2015/02/fon1.png	C:/Users/artem/mystuff/projects/prosperus2/site_clone/prosperus/localhost_8000/wp-content/uploads/2015/02/fon1.png	(from http://localhost:8000/)
07:22:53	12958/12958	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2020%20Apr%202020%2004:22:52%20GMT	http://localhost:8000/projects/	C:/Users/artem/mystuff/projects/prosperus2/site_clone/prosperus/localhost_8000/projects/index.html	(from http://localhost:8000/)
07:22:53	12685/12685	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2020%20Apr%202020%2004:22:53%20GMT	http://localhost:8000/services/	C:/Users/artem/mystuff/projects/prosperus2/site_clone/prosperus/localhost_8000/services/index.html	(from http://localhost:8000/)
07:22:53	12785/12785	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2020%20Apr%202020%2004:22:53%20GMT	http://localhost:8000/partners/	C:/Users/artem/mystuff/projects/prosperus2/site_clone/prosperus/localhost_8000/partners/index.html	(from http://localhost:8000/)
07:22:53	12031/12031	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2020%20Apr%202020%2004:22:53%20GMT	http://localhost:8000/contact/	C:/Users/artem/mystuff/projects/prosperus2/site_clone/prosperus/localhost_8000/contact/index.html	(from http://localhost:8000/)
07:22:53	5057183/5057183	U-----	200	untouched ('')	image/png	etag:%224d2a9f-52852c17ff80c%22	http://localhost:8000/wp-content/uploads/2015/02/office1.png	C:/Users/artem/mystuff/projects/prosperus2/site_clone/prosperus/localhost_8000/wp-content/uploads/2015/02/office1.png	(from http://localhost:8000/)
07:22:54	731/731	U--M-Z	200	updated ('OK')	application/javascript	etag:%222db-52852bc1a3431-gzip%22	http://localhost:8000/wp-content/plugins/sitepress-multilingual-cms/res/js/sitepress.js?ver=4.1.1	C:/Users/artem/mystuff/projects/prosperus2/site_clone/prosperus/localhost_8000/wp-content/plugins/sitepress-multilingual-cms/res/js/sitepress0235.js	(from http://localhost:8000/)
07:22:54	727/727	U--M-Z	200	updated ('OK')	application/javascript	etag:%222d7-52852bf7be4ba-gzip%22	http://localhost:8000/wp-content/themes/twentyfifteen/js/skip-link-focus-fix.js?ver=20141010	C:/Users/artem/mystuff/projects/prosperus2/site_clone/prosperus/localhost_8000/wp-content/themes/twentyfifteen/js/skip-link-focus-fixd01e.js	(from http://localhost:8000/)
07:22:54	4072/4072	U--M-Z	200	updated ('OK')	application/javascript	etag:%22fe8-52852bf866d11-gzip%22	http://localhost:8000/wp-content/themes/twentyfifteen/js/functions.js?ver=20141212	C:/Users/artem/mystuff/projects/prosperus2/site_clone/prosperus/localhost_8000/wp-content/themes/twentyfifteen/js/functionsd7c8.js	(from http://localhost:8000/)
07:22:54	112/112	U-----	200	untouched ('')	image/png	etag:%2270-52852bbc9ad7d%22	http://localhost:8000/wp-content/plugins/sitepress-multilingual-cms/res/img/nav-arrow-down.png	C:/Users/artem/mystuff/projects/prosperus2/site_clone/prosperus/localhost_8000/wp-content/plugins/sitepress-multilingual-cms/res/img/nav-arrow-down.png	(from http://localhost:8000/wp-content/plugins/sitepress-multilingual-cms/res/css/language-selector.css?v=3.1.8.4)
07:22:54	22760/22760	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%2258e8-52852bf6a40d7%22	http://localhost:8000/wp-content/themes/twentyfifteen/genericons/Genericons.eot	C:/Users/artem/mystuff/projects/prosperus2/site_clone/prosperus/localhost_8000/wp-content/themes/twentyfifteen/genericons/Genericons.eot	(from http://localhost:8000/wp-content/themes/twentyfifteen/genericons/genericons.css?ver=3.2)
07:22:54	22576/22576	U-----	200	untouched ('')	application/font-sfnt	etag:%225830-52852bf66950c%22	http://localhost:8000/wp-content/themes/twentyfifteen/genericons/Genericons.ttf	C:/Users/artem/mystuff/projects/prosperus2/site_clone/prosperus/localhost_8000/wp-content/themes/twentyfifteen/genericons/Genericons.ttf	(from http://localhost:8000/wp-content/themes/twentyfifteen/genericons/genericons.css?ver=3.2)
07:22:54	78913/78913	U-----	200	untouched ('OK')	image/svg+xml	etag:%2213441-52852bf6821ee%22	http://localhost:8000/wp-content/themes/twentyfifteen/genericons/Genericons.svg	C:/Users/artem/mystuff/projects/prosperus2/site_clone/prosperus/localhost_8000/wp-content/themes/twentyfifteen/genericons/Genericons.svg	(from http://localhost:8000/wp-content/themes/twentyfifteen/genericons/genericons.css?ver=3.2)
07:22:55	92356/92356	U--M-Z	200	updated ('OK')	text/css	etag:%22168c4-52852bf239588-gzip%22	http://localhost:8000/wp-content/themes/twentyfifteen/style.css	C:/Users/artem/mystuff/projects/prosperus2/site_clone/prosperus/localhost_8000/wp-content/themes/twentyfifteen/style.css	(from http://localhost:8000/wp-content/themes/prosperus/style.css?ver=4.1.1)
